,p-value,cliff
GodClass,0.5081704243153193,-0.02785430058157331
DataClass,0.3764295930070817,0.04642383430262218
LongMethod,0.6197818096030088,-0.026936026936026935
FeatureEnvy,0.005406844191847006,-0.1097847158453219
