,p-value,cliff
GodClass,0.017907537450704877,0.09692888480767269
DataClass,0.009345128118895998,0.10243852668095092
LongMethod,0.7527166819569531,-0.023262932353841446
FeatureEnvy,0.0007011148267147894,-0.1275380063258851
