,p-value,cliff
GodClass,0.08942964108054365,-0.04713804713804714
DataClass,0.9451996179055294,-0.009794918885827977
LongMethod,5.285008241274149e-06,0.14100601979389857
FeatureEnvy,0.0006606906455963952,0.06162636465666769
