,p-value,cliff
GodClass,5.715871031995141e-05,-0.09039893888378737
DataClass,1.1286037173476089e-06,-0.12804815835118866
LongMethod,0.10247043485974937,-0.023875114784205693
FeatureEnvy,0.025596805385948558,-0.049586776859504134
