,p-value,cliff
GodClass,1.5692458018569614e-16,-0.9459238853178247
DataClass,2.9951142148460033e-16,-0.9435771860014285
LongMethod,5.672023576750454e-18,-0.9544944393429242
FeatureEnvy,8.94714061861029e-18,-0.9618406285072951
