,p-value,cliff
GodClass,1.1546611097117315e-17,0.9765330068360372
DataClass,1.36791991511007e-14,0.7262524232221202
LongMethod,8.007637123161508e-18,0.9888786858483828
FeatureEnvy,2.6377248044640522e-14,0.7398224670951944
