,p-value,cliff
GodClass,9.44530282099432e-17,-0.8175696357514539
DataClass,5.236367818738377e-07,-0.3254769921436588
LongMethod,1.1688398871084381e-17,-0.9001122334455668
FeatureEnvy,8.061529219199464e-08,-0.27180899908172634
