,p-value,cliff
GodClass,7.270515319184475e-09,0.26803387409448015
DataClass,0.00013508289932418328,0.12202836445260688
LongMethod,0.9335144827305111,-0.010509131721252934
FeatureEnvy,0.18748457200771118,-0.007652280379553107
