,p-value,cliff
GodClass,3.778432171005108e-07,-0.26905417814508725
DataClass,2.811082137715567e-08,-0.2205897357412509
LongMethod,0.024250131747801166,-0.06825834098561372
FeatureEnvy,2.9730776561305687e-06,-0.24507703295582084
