,p-value,cliff
GodClass,0.34255724656626396,-0.051729415365779005
DataClass,0.14724003796327206,-0.1299867360473421
LongMethod,0.10287719719950335,-0.14090398938883789
FeatureEnvy,0.23666461497297264,-0.06713600652994592
