,p-value,cliff
GodClass,3.0008507904015923e-08,-0.4490358126721763
DataClass,5.8706184557635666e-08,-0.39434751555963676
LongMethod,0.0032194751677354257,-0.13182328333843485
FeatureEnvy,0.31731050786291415,-0.010101010101010102
