,p-value,cliff
GodClass,0.6381847747136687,-0.015814712784409754
DataClass,0.00219356595926902,-0.2019181716151413
LongMethod,6.997160920420504e-05,-0.20497908376696256
FeatureEnvy,0.503127970979667,-0.06040199979593919
