,p-value,cliff
GodClass,1.8007929377187105e-08,0.369452096724824
DataClass,0.03826094436891848,0.11713090500969289
LongMethod,0.9734854411235432,-0.019385776961534536
FeatureEnvy,0.9733412421234212,-0.009386797265585145
