,p-value,cliff
GodClass,4.642435725109219e-07,-0.256912559942863
DataClass,0.004734835249146322,-0.13253749617385982
LongMethod,0.0002114460043476179,-0.24252627282930314
FeatureEnvy,0.04475003148174242,0.11335578002244669
