,p-value,cliff
GodClass,2.323302845983172e-10,-0.29935720844811753
DataClass,3.3160798404829624e-11,-0.23987348229772473
LongMethod,2.1186296257211005e-06,-0.1587593102744618
FeatureEnvy,6.94088653908406e-06,-0.19722477298234875
