,p-value,cliff
GodClass,0.01849940109346566,-0.050607080910111214
DataClass,2.2980354148612187e-05,-0.1122334455667789
LongMethod,1.646603300538038e-14,0.6673808795020916
FeatureEnvy,2.0716413100181092e-14,0.7480869299051117
