,p-value,cliff
GodClass,4.809212550455451e-10,-0.30700948882767065
DataClass,6.830665990709235e-09,-0.2582389552086522
LongMethod,4.891020870748649e-11,-0.25303540455055606
FeatureEnvy,1.224321030222452e-11,-0.30323436384042446
